Unnamed: 0,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
43,0,-0.0893652426,-0.1143453183,1.1776900119,-0.2545281257,1
44,0,-0.0820263532,-0.1216115193,1.1531080995,-0.2521054259,1
45,0,0.2755722166,-0.1143453183,1.1531080995,-0.2349000406,1
46,0,0.5030202671,-0.1179784188,1.1776900119,-0.2390124682,1
47,0,-0.1488790017,-0.1288777203,1.1776900119,-0.2450092179,1
48,0,0.2238560156,-0.1216115193,1.1776900119,-0.2097292592,1
49,0,0.7290922770,-0.1288777203,1.1776900119,-0.2437800302,1
50,0,-0.3829779212,-0.1325108208,1.1776900119,-0.3160945403,1
51,0,0.0771356789,-0.1325108208,1.1776900119,-0.2867075476,1
52,0,0.6612649445,-0.1288777203,1.1776900119,-0.2763713434,1
53,0,0.2758015510,-0.1361439213,1.1776900119,-0.2718697271,1
54,0,-0.7772709033,-0.1434072862,1.1776900119,-0.2853616032,1
55,0,-0.1892141939,-0.1397741857,1.1776900119,-0.2803832306,1
56,0,-0.6518218676,-0.1361439213,1.1776900119,-0.3728090686,1
57,0,0.7446874103,-0.1506734872,1.1776900119,-0.3984760656,1
58,0,0.0401545858,-0.1652030530,1.1776900119,-0.3671917778,1
59,0,0.6417136942,-0.1652030530,1.1776900119,-0.3013994223,1
60,0,1.2649167873,-0.1506734872,1.1899809681,-0.2485702949,1
61,0,-2.1299762313,-0.1470403867,1.1776900119,-0.2442178675,1
62,0,0.2665706058,-0.1506734872,1.1776900119,-0.2195465450,1
63,0,-0.4588894926,-0.1470403867,1.1531080995,-0.1697011979,1
64,0,0.3484450258,-0.1434072862,1.1531080995,-0.1766741627,1
65,0,0.9647679155,-0.1325108208,1.1776900119,-0.2118665540,1
66,0,1.3155722845,-0.1361439213,1.1776900119,-0.2260070780,1
67,0,-0.8292451119,-0.1288777203,1.1776900119,-0.2283130212,1
68,0,1.0915069892,-0.1252446198,1.1776900119,-0.2336189610,1
69,0,0.1163528380,-0.1288777203,1.1776900119,-0.3337799250,1
70,0,0.3020609996,-0.1288777203,1.1776900119,-0.2907129483,1
71,0,-0.0493740605,-0.1397741857,1.1776900119,-0.2721648619,1
72,0,1.2034249697,-0.1288777203,1.1776900119,-0.2610729829,1
73,0,-0.2655844512,-0.1361439213,1.1776900119,-0.2148633072,1
74,0,-0.5742475747,-0.1325108208,1.1899809681,-0.2312319367,1
75,0,0.3611160727,-0.1325108208,1.1899809681,-0.3329561422,1
76,0,-0.6123467008,-0.1434072862,1.1899809681,-0.3571377355,1
77,0,0.6360375265,-0.1434072862,1.1776900119,-0.3001021265,1
78,0,0.0383485324,-0.1288777203,1.1776900119,-0.2815767428,1
79,0,-0.0595223605,-0.1397741857,1.1531080995,-0.3845820278,1
80,0,-0.8115285882,-0.1506734872,1.1776900119,-0.4150749651,1
81,0,0.9578017096,-0.1397741857,1.1776900119,-0.4204068508,1
82,0,0.4908939087,-0.1506734872,1.1776900119,-0.4087701076,1
83,0,-2.2350713377,-0.1397741857,1.1899809681,-0.3717290698,1
84,0,-1.3210936500,-0.1325108208,1.1899809681,-0.3867841874,1
85,0,-0.8408554551,-0.1361439213,1.1531080995,-0.4043009236,1
86,0,1.4139591927,-0.1361439213,1.1531080995,-0.4477538458,1
87,0,1.8494187364,-0.1288777203,1.1776900119,-0.4050890308,1
88,0,-1.7098251401,-0.1216115193,1.1776900119,-0.4022479531,1
89,0,0.2915400162,-0.1179784188,1.1531080995,-0.4645116641,1
90,0,-0.5606591731,-0.1252446198,1.1531080995,-0.5029862137,1
91,0,0.7130384749,-0.1325108208,1.1776900119,-0.4271917077,1
92,0,-0.2989534376,-0.1252446198,1.1776900119,-0.3531582807,1
93,0,0.3713790485,-0.1288777203,1.1776900119,-0.3463572076,1
94,0,0.5236608772,-0.1325108208,1.1776900119,-0.4032306546,1
95,0,-0.7435865800,-0.1361439213,1.1531080995,-0.4922900100,1
96,0,0.2999395921,-0.1397741857,1.1531080995,-0.4756651645,1
