Unnamed: 0,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
33,0,0.6577212688,0.2103196035,0.7443181818,0.2715832966,1
34,0,0.5511701904,0.2085592215,0.7443181818,0.2682137641,1
35,0,0.644403308,0.2076797177,0.7443181818,0.2699457084,1
36,0,0.6141365602,0.2076797177,0.7443181818,0.2594812864,1
37,0,0.6029187116,0.2076797177,0.7443181818,0.2653921785,1
38,0,0.7073123691,0.2050391448,0.7443181818,0.2742093493,1
39,0,0.6303310818,0.1988784952,0.7443181818,0.2658952211,1
40,0,0.6525116609,0.1997586861,0.7329545455,0.2715662443,1
41,0,0.6765261399,0.1997586861,0.7329545455,0.2715037192,1
42,0,0.535877829,0.2006388771,0.7443181818,0.2788242673,1
43,0,0.6160296188,0.1997586861,0.7443181818,0.2828633864,1
44,0,0.6165028837,0.1979983042,0.7386363636,0.2832879885,1
45,0,0.6395634388,0.1997586861,0.7386363636,0.2863034017,1
46,0,0.6542309423,0.1988784952,0.7443181818,0.2855826583,1
47,0,0.612191739,0.1962379223,0.7443181818,0.2845316688,1
48,0,0.6362284022,0.1979983042,0.7443181818,0.2907148292,1
49,0,0.6688097088,0.1962379223,0.7443181818,0.2847470961,1
50,0,0.5970953391,0.1953577313,0.7443181818,0.2720732657,1
51,0,0.6267668084,0.1953577313,0.7443181818,0.2772236257,1
52,0,0.6644357094,0.1962379223,0.7443181818,0.2790351473,1
53,0,0.6395782279,0.1944775404,0.7443181818,0.2798240999,1
54,0,0.5716684616,0.1927178455,0.7443181818,0.2774595157,1
55,0,0.6095906326,0.1935980365,0.7443181818,0.2783320246,1
56,0,0.5797583272,0.1944775404,0.7443181818,0.2621334859,1
57,0,0.6698153963,0.1909574636,0.7443181818,0.2576350918,1
58,0,0.6243819988,0.1874373869,0.7443181818,0.2631179714,1
59,0,0.6631749026,0.1874373869,0.7443181818,0.2746487299,1
60,0,0.703363568,0.1909574636,0.7471590909,0.283907555,1
61,0,0.4844361896,0.1918376546,0.7443181818,0.2846703608,1
62,0,0.6389829495,0.1909574636,0.7443181818,0.2889942531,1
63,0,0.5922000092,0.1918376546,0.7386363636,0.2977301413,1
64,0,0.6442628072,0.1927178455,0.7386363636,0.2965080605,1
65,0,0.684007787,0.1953577313,0.7443181818,0.2903402472,1
66,0,0.7066302026,0.1944775404,0.7443181818,0.287861981,1
67,0,0.5683167868,0.1962379223,0.7443181818,0.2874578418,1
68,0,0.6921808437,0.1971181132,0.7443181818,0.2865279236,1
69,0,0.6292958159,0.1962379223,0.7443181818,0.2689737278,1
70,0,0.641271628,0.1962379223,0.7443181818,0.2765216398,1
71,0,0.6186085409,0.1935980365,0.7443181818,0.2797723747,1
72,0,0.6993981286,0.1962379223,0.7443181818,0.2817163357,1
73,0,0.6046657233,0.1944775404,0.7443181818,0.2898150367,1
74,0,0.5847608815,0.1953577313,0.7471590909,0.2869462731,1
75,0,0.6450799284,0.1953577313,0.7471590909,0.2691181039,1
76,0,0.5823039729,0.1927178455,0.7471590909,0.2648800414,1
77,0,0.6628088621,0.1927178455,0.7443181818,0.2748760938,1
78,0,0.6242655313,0.1962379223,0.7443181818,0.2781228498,1
79,0,0.6179541047,0.1935980365,0.7386363636,0.2600701588,1
80,0,0.569459277,0.1909574636,0.7443181818,0.2547259711,1
81,0,0.6835585554,0.1935980365,0.7443181818,0.2537915056,1
82,0,0.6534489466,0.1909574636,0.7443181818,0.2558309595,1
83,0,0.4776588932,0.1935980365,0.7471590909,0.2623227663,1
84,0,0.536598818,0.1953577313,0.7471590909,0.2596842086,1
85,0,0.5675680675,0.1944775404,0.7386363636,0.256614228,1
86,0,0.7129749056,0.1944775404,0.7386363636,0.2489986753,1
87,0,0.7410565022,0.1962379223,0.7443181818,0.2564761045,1
88,0,0.5115305859,0.1979983042,0.7443181818,0.2569740314,1
89,0,0.6405931586,0.1988784952,0.7386363636,0.2460617026,1
90,0,0.5856371604,0.1971181132,0.7386363636,0.2393186587,1
91,0,0.6677744429,0.1953577313,0.7443181818,0.2526023926,1
92,0,0.6025138485,0.1971181132,0.7443181818,0.2655774801,1
93,0,0.6457417597,0.1962379223,0.7443181818,0.2667694351,1
94,0,0.6555619989,0.1953577313,0.7443181818,0.2568018032,1
95,0,0.5738406716,0.1944775404,0.7386363636,0.2411932738,1
96,0,0.6411348243,0.1935980365,0.7386363636,0.2441069417,1
97,0,0.6505594446,0.1927178455,0.7386363636,0.2436544876,1
98,0,0.6559835002,0.1900772727,0.7386363636,0.2432440959,1
99,0,0.5455779037,0.1900772727,0.7386363636,0.2313074929,1
100,0,0.6601818744,0.1900772727,0.7386363636,0.2342814122,1
101,0,0.6208916723,0.1883168907,0.7386363636,0.2357609826,1
102,0,0.6440668468,0.1874373869,0.7386363636,0.2328484515,1
103,0,0.603678523,0.1891970817,0.7386363636,0.2356490059,1
104,0,0.5518911794,0.1830364321,0.7443181818,0.219860859,1
105,0,0.6768773913,0.1830364321,0.7386363636,0.2187280185,1
106,0,0.5882438129,0.1865571959,0.7386363636,0.2344797872,1
107,0,0.5812409767,0.1874373869,0.7386363636,0.2409039533,1
108,0,0.6275987188,0.185677005,0.7386363636,0.247015494,1
109,0,0.6753651624,0.185677005,0.7386363636,0.2539859017,1
110,0,0.6047544604,0.1830364321,0.7329545455,0.2608386487,1
111,0,0.6241527609,0.1812760501,0.7329545455,0.2761658153,1
112,0,0.640709626,0.1795163553,0.7329545455,0.2814383834,1
113,0,0.5950266553,0.1786361644,0.7329545455,0.281286618,1
114,0,0.6302164634,0.1733557057,0.7329545455,0.273216906,1
115,0,0.6203500066,0.1759955915,0.7386363636,0.270759671,1
116,0,0.65709826,0.1759955915,0.7386363636,0.2740371211,1
117,0,0.6232912722,0.1759955915,0.7386363636,0.2800457797,1
118,0,0.6170722798,0.1786361644,0.7386363636,0.2863790002,1
119,0,0.6225739802,0.1733557057,0.7329545455,0.2918101546,1
120,0,0.6857991673,0.1742358967,0.7272727273,0.2998434884,1
121,0,0.6638145496,0.1759955915,0.7272727273,0.3027588616,1
122,0,0.6848341513,0.1751154005,0.7386363636,0.3061977401,1
123,0,0.6594516424,0.1751154005,0.7386363636,0.3093006884,1
124,0,0.565283087,0.1724755148,0.7386363636,0.3088215191,1
125,0,0.666654137,0.1742358967,0.7386363636,0.3096110401,1
126,0,0.4590148581,0.1795163553,0.7329545455,0.3149870587,1
